"player","treatment","pairIndex","pairRace","pairGender","pairType","answer","correct","confidence","xCoor","yCoor","tCoor","responseTime","totalResponseTime"
"866661316448391","a",102,0,1,"False Negative",1,1,2,"0.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-2.5,-2.5,-2.5,-3.5,-3.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-5.5,-5.5,-5.5,-6.5,-6.5,-6.5,-7.5,-8.5,-8.5,-9.5,-9.5,-10.5,-11.5,-12.5,-13.5,-14.5,-15.5,-16.5,-17.5,-18.5,-19.5,-20.5,-21.5,-22.5,-23.5,-24.5,-25.5,-26.5,-27.5,-28.5,-29.5,-31.5,-32.5,-33.5,-34.5,-36.5,-37.5,-38.5,-39.5,-40.5,-41.5,-42.5,-43.5,-44.5,-45.5,-46.5,-47.5,-48.5,-49.5,-50.5,-51.5,-52.5,-52.5,-53.5,-54.5,-55.5,-55.5,-56.5,-56.5,-58.5,-59.5,-59.5,-59.5,-59.5,-59.5,-59.5,-59.5,-59.5,-59.5,-58.5,-58.5,-57.5,-56.5,-55.5,-54.5,-54.5,-54.5,-53.5,-53.5,-53.5,-53.5,-53.5,-53.5,-53.5,-53.5,-53.5,-52.5,-52.5,-52.5,-52.5,-51.5,-51.5,-50.5,-50.5,-49.5,-49.5,-48.5,-48.5,-47.5,-47.5,-46.5,-46.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-45.5,-44.5,-43.5,-42.5,-41.5,-40.5,-38.5,-35.5,-33.5,-31.5,-29.5,-28.5,-27.5,-26.5,-25.5,-24.5,-23.5,-21.5,-20.5,-18.5,-14.5,-12.5,-9.5,-5.5,-2.5,1.5,4.5,7.5,11.5,14.5,18.5,21.5,26.5,30.5,33.5,37.5,40.5,44.5,47.5,51.5,54.5,57.5,61.5,64.5,68.5,71.5,75.5,78.5,81.5,85.5,88.5,90.5,93.5,94.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,109.5,111.5,112.5,116.5,119.5,123.5,126.5,130.5,133.5,138.5,143.5,148.5,157.5,166.5,173.5,182.5,191.5,199.5,206.5,212.5,216.5,219.5,220.5,221.5,221.5,222.5,222.5,224.5,225.5,225.5,227.5,228.5,230.5,232.5,233.5,234.5,234.5,236.5,236.5,236.5,236.5,236.5,235.5,234.5,234.5,234.5,235.5,235.5,236.5,236.5,237.5,238.5,239.5,239.5,240.5,240.5,241.5,241.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,242.5,241.5,241.5,241.5,240.5,240.5,240.5,239.5,239.5,239.5,238.5,238.5,238.5,238.5,238.5","32,33,34,35,36,37,38,40,43,48,54,60,67,75,83,91,100,106,114,120,125,130,133,137,140,142,143,145,147,148,149,150,151,152,153,155,156,157,158,159,162,163,164,165,166,167,168,169,170,171,172,174,176,178,179,180,181,182,183,184,185,187,188,190,191,193,196,197,198,199,201,202,203,204,205,207,209,211,212,214,218,219,221,223,225,227,229,230,234,235,237,239,240,241,243,244,246,247,248,249,251,254,255,257,260,262,266,268,271,274,277,280,282,284,285,287,288,290,291,294,296,298,300,301,303,305,307,309,310,311,314,315,316,317,318,320,321,322,323,324,325,326,327,328,329,329,329,329,329,329,329,329,329,329,331,332,333,334,334,334,334,334,334,334,333,332,331,328,326,325,322,319,318,317,316,314,313,310,307,303,299,296,292,289,285,283,279,277,275,273,270,268,266,265,263,262,260,259,255,253,251,249,247,244,243,242,241,240,239,238,237,236,235,234,233,233,232,232,232,232,232,234,236,240,243,247,253,259,267,274,280,289,298,307,312,318,323,328,331,336,341,347,355,368,381,394,407,423,431,439,444,449,452,454,455,456,457,457,456,455,455,456,457,458,461,464,467,471,474,477,481,484,485,487,488,489,490,491,492,493,494,495,496,497,499,500,502,503,506,507,509,510,511,512,513,514,515,515,515,515","0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","NA","NA"
"866661316448391","a",70,0,0,"False Positive",1,0,3,"0.5,0.5,0.5,1.5,1.5,2.5,4.5,5.5,7.5,9.5,10.5,11.5,12.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,25.5,26.5,27.5,28.5,29.5,30.5,32.5,33.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,33.5,32.5,31.5,29.5,27.5,25.5,23.5,20.5,18.5,16.5,14.5,11.5,9.5,6.5,2.5,-0.5,-4.5,-7.5,-9.5,-13.5,-15.5,-17.5,-19.5,-22.5,-23.5,-24.5,-25.5,-26.5,-27.5,-29.5,-30.5,-32.5,-33.5,-34.5,-35.5,-36.5,-37.5,-38.5,-39.5,-40.5,-41.5,-42.5,-43.5,-44.5,-45.5,-46.5,-46.5,-47.5,-48.5,-49.5,-49.5,-50.5,-51.5,-52.5,-53.5,-54.5,-55.5,-56.5,-56.5,-57.5,-58.5,-59.5,-60.5,-61.5,-62.5,-63.5,-64.5,-65.5,-66.5,-67.5,-68.5,-69.5,-70.5,-71.5,-72.5,-73.5,-74.5,-75.5,-76.5,-76.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-77.5,-76.5,-74.5,-73.5,-72.5,-71.5,-69.5,-68.5,-67.5,-66.5,-64.5,-63.5,-59.5,-57.5,-55.5,-53.5,-51.5,-50.5,-47.5,-46.5,-43.5,-40.5,-36.5,-33.5,-29.5,-26.5,-21.5,-17.5,-11.5,-7.5,-2.5,2.5,7.5,12.5,16.5,21.5,27.5,34.5,42.5,48.5,56.5,63.5,69.5,77.5,83.5,92.5,98.5,106.5,114.5,123.5,131.5,139.5,147.5,154.5,162.5,170.5,176.5,183.5,189.5,195.5,201.5,207.5,212.5,217.5,222.5,227.5,231.5,234.5,238.5,242.5,246.5,249.5,252.5,255.5,258.5,261.5,263.5,265.5,267.5,269.5,270.5,271.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,281.5,281.5,281.5,281.5,281.5,281.5,280.5,279.5,278.5,277.5,276.5,275.5,274.5,273.5,273.5,272.5,271.5,269.5,268.5,267.5,266.5,265.5,264.5,263.5,262.5,261.5,260.5,259.5,258.5,257.5,256.5,255.5,254.5,253.5,253.5,252.5,252.5,251.5,251.5,250.5,249.5,249.5,248.5,248.5","24,25,27,30,34,37,40,44,51,57,59,63,65,68,72,74,76,78,80,84,87,89,92,96,99,103,107,112,118,123,129,136,141,146,149,152,156,159,162,166,169,173,176,179,183,186,189,192,195,197,201,204,206,210,214,216,218,219,221,223,224,225,226,227,228,229,230,232,233,234,235,236,236,237,238,239,239,240,241,242,243,243,244,245,246,246,247,247,248,248,249,250,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,286,288,290,294,297,299,303,305,307,308,310,311,312,313,314,317,318,319,320,322,323,324,325,326,327,329,330,331,331,331,331,331,331,331,329,328,327,326,323,322,321,319,318,317,317,316,314,313,312,312,310,310,310,311,312,313,316,318,321,325,329,333,339,344,349,354,359,364,369,374,379,384,389,392,397,400,404,407,411,414,417,421,424,428,431,434,438,440,443,447,449,452,456,459,463,466,468,471,472,476,478,481,482,484,488,490,491,493,495,497,498,500,503,505,506,507,509,511,514,516,517,518,519,520,521,522,523,524,524,525,526,526,527,528,528","0,104,109.90000009536743,117.79999995231628,126.10000014305115,134,142.20000004768372,150.10000014305115,166.40000009536743,182.10000014305115,189.90000009536743,198.40000009536743,206,214.40000009536743,222,230.70000004768372,237.90000009536743,246.29999995231628,254,261.90000009536743,270,277.90000009536743,286,293.90000009536743,302,309.90000009536743,317.7999999523163,325.90000009536743,333.90000009536743,341.90000009536743,349.90000009536743,357.90000009536743,364.10000014305115,372,379.90000009536743,388.2999999523163,395.90000009536743,403.7999999523163,411.7999999523163,420.10000014305115,428,436,443.90000009536743,451.90000009536743,459.7999999523163,467.90000009536743,475.90000009536743,484,492,500,508,516,524.7999999523163,532.7000000476837,540,548.1000001430511,555.9000000953674,564.1000001430511,571.9000000953674,580,588,593.9000000953674,603.9000000953674,610,617.7999999523163,626.1000001430511,634.1000001430511,651.2000000476837,658,666.1000001430511,674,682,690,697.9000000953674,705.9000000953674,713.9000000953674,721.9000000953674,729.9000000953674,737.7999999523163,746.1000001430511,754.2000000476837,769.9000000953674,777.9000000953674,785.9000000953674,793.7999999523163,802,810,817.9000000953674,825.9000000953674,833.9000000953674,841.9000000953674,857.9000000953674,864,873.7999999523163,880.2000000476837,887.7000000476837,896.1000001430511,904,911.7999999523163,920,927.9000000953674,935.9000000953674,944,951.9000000953674,959.9000000953674,967.7999999523163,976.1000001430511,984.1000001430511,992.1000001430511,1000.2999999523163,1008,1016,1023.9000000953674,1032,1039.9000000953674,1047.9000000953674,1055.9000000953674,1064,1071.9000000953674,1080.2000000476837,1087.9000000953674,1096,1104,1110,1120,1125.9000000953674,1134.2999999523163,1141.7999999523163,1150,1157.9000000953674,1166,1173.9000000953674,1182,1190,1198,1206,1214.1000001430511,1221.9000000953674,1230.6000001430511,1238,1245.9000000953674,1254,1261.9000000953674,1269.9000000953674,1278,1285.7999999523163,1293.9000000953674,1301.9000000953674,1309.7999999523163,1318,1325.9000000953674,1333.9000000953674,1341.9000000953674,1350,1357.9000000953674,1363.9000000953674,1374,1379.7999999523163,1388,1396,1403.9000000953674,1411.9000000953674,1419.9000000953674,1427.9000000953674,1435.9000000953674,1443.9000000953674,1452,1460.2000000476837,1468,1475.9000000953674,1484,1491.7000000476837,1500.2000000476837,1507.7999999523163,1516,1524,1531.9000000953674,1539.9000000953674,1548,1555.7999999523163,1564,1572.1000001430511,1579.9000000953674,1587.9000000953674,1595.9000000953674,1603.9000000953674,1609.9000000953674,1619.9000000953674,1625.9000000953674,1633.9000000953674,1641.9000000953674,1650.1000001430511,1657.9000000953674,1665.7999999523163,1674,1681.9000000953674,1690,1697.9000000953674,1705.9000000953674,1714,1721.9000000953674,1729.9000000953674,1737.9000000953674,1745.9000000953674,1753.9000000953674,1761.9000000953674,1769.9000000953674,1777.9000000953674,1785.7999999523163,1794,1801.7999999523163,1810.1000001430511,1818,1825.9000000953674,1834.1000001430511,1841.7999999523163,1850.2999999523163,1858,1864.2000000476837,1873.9000000953674,1879.9000000953674,1887.7999999523163,1895.9000000953674,1904,1912,1919.9000000953674,1928.2000000476837,1935.9000000953674,1944,1952,1959.9000000953674,1967.9000000953674,1975.7000000476837,1984.1000001430511,1991.7999999523163,2000,2008,2016,2024.2000000476837,2032.1000001430511,2040.2000000476837,2048.5,2055.7999999523163,2064.4000000953674,2071.7999999523163,2079.9000000953674,2088,2095.9000000953674,2103.9000000953674,2111.9000000953674,2117.9000000953674,2127.9000000953674,2134.100000143051,2141.9000000953674,2149.9000000953674,2157.7999999523163,2166.100000143051,2182,2189.9000000953674,2221.9000000953674,2321.9000000953674",2321.9000000953674,"NA"
"866661316448391","a",39,1,1,"False Positive",0,1,3,"-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-4.5,-4.5,-4.5,-4.5,-4.5,-3.5,-3.5,-1.5,-0.5,0.5,1.5,2.5,2.5,3.5,4.5,4.5,5.5,5.5,6.5,6.5,7.5,7.5,8.5,9.5,10.5,11.5,14.5,15.5,17.5,20.5,24.5,28.5,33.5,36.5,40.5,42.5,46.5,50.5,54.5,58.5,64.5,70.5,76.5,80.5,86.5,90.5,95.5,101.5,107.5,113.5,118.5,123.5,126.5,127.5,128.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,129.5,128.5,126.5,123.5,118.5,110.5,94.5,75.5,51.5,25.5,-3.5,-29.5,-51.5,-70.5,-83.5,-95.5,-104.5,-112.5,-120.5,-128.5,-137.5,-145.5,-151.5,-157.5,-162.5,-166.5,-168.5,-170.5,-171.5,-173.5,-174.5,-175.5,-176.5,-177.5,-178.5,-178.5,-179.5,-180.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-181.5,-182.5,-183.5,-184.5,-184.5,-186.5,-187.5,-187.5,-188.5,-189.5,-189.5,-190.5,-190.5,-191.5,-192.5,-192.5,-193.5,-193.5,-195.5,-195.5,-196.5,-197.5,-199.5,-200.5,-200.5,-201.5,-201.5,-202.5,-203.5,-204.5,-206.5,-206.5,-207.5,-208.5,-209.5,-210.5,-211.5,-213.5,-214.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-215.5,-214.5,-214.5,-214.5,-213.5,-213.5,-213.5,-213.5,-213.5,-213.5,-213.5","33,33,33,33,34,38,42,47,51,57,62,67,70,73,77,80,82,87,88,89,90,91,93,94,95,96,98,100,102,104,108,111,114,120,124,133,141,149,157,162,167,172,177,182,190,197,206,215,224,230,239,247,254,263,270,278,283,289,292,294,295,296,297,298,298,298,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,298,298,299,299,301,303,303,304,304,306,306,306,307,308,309,310,312,313,314,315,316,317,318,319,319,320,321,321,322,323,323,323,323,323,323,323,323,323,323,323,323,323,323,323,325,328,333,336,340,343,346,350,352,354,356,359,363,366,371,376,380,387,395,400,405,410,415,420,424,428,432,437,441,444,449,452,457,462,466,471,476,481,485,490,493,497,500,504,507,509,511,513,515,518,521,523,525,529,532,536,538,540,542,543,544,545,545","0,100,200,300,492.09999990463257,500.2999999523163,508.09999990463257,516,528,532,540,548,556.4000000953674,566.0999999046326,572.0999999046326,585.9000000953674,589.5,604.9000000953674,612,620.0999999046326,628.0999999046326,636.2999999523163,642.0999999046326,652.2000000476837,658.2999999523163,666,674.0999999046326,682,690.2000000476837,698,706.0999999046326,714,724,730,738.2000000476837,745.9000000953674,755.7999999523163,762,770.4000000953674,778,786.0999999046326,794,803.2000000476837,810.0999999046326,818,826.0999999046326,834.0999999046326,842.0999999046326,850,858.2999999523163,866,874,882.0999999046326,889.2999999523163,898.0999999046326,904.7000000476837,914,920.5,928,936.4000000953674,944.0999999046326,952.4000000953674,960.0999999046326,968.2999999523163,1068.2999999523163,1168.2999999523163,1198.0999999046326,1298.0999999046326,1398.0999999046326,1498.0999999046326,1598.0999999046326,1698.0999999046326,1798.0999999046326,1898.0999999046326,2040.4000000953674,2048,2057.2000000476837,2064,2072.7999999523163,2080.2999999523163,2089.2000000476837,2096.2000000476837,2104.5,2112.4000000953674,2120.4000000953674,2128.2000000476837,2136.0999999046326,2145.9000000953674,2152.2000000476837,2160.2999999523163,2168.0999999046326,2176.2999999523163,2184.5,2192.2000000476837,2200,2208.0999999046326,2216.0999999046326,2224.7999999523163,2230,2240.0999999046326,2246,2254.2000000476837,2262,2270.0999999046326,2278,2286.0999999046326,2294.0999999046326,2302.2000000476837,2310.5999999046326,2318.0999999046326,2326.2000000476837,2342.0999999046326,2366.2000000476837,2466.2000000476837,2566.2000000476837,2666.2000000476837,2766.2000000476837,2866.2000000476837,2966.2000000476837,3066.2000000476837,3166.2000000476837,3266.2000000476837,3366.2000000476837,3466.2000000476837,3566.2000000476837,3666.2000000476837,3766.2000000476837,3946.0999999046326,3955.2999999523163,3962.0999999046326,3970.2000000476837,3978.0999999046326,3986.2999999523163,3994.2000000476837,4002.2999999523163,4010.4000000953674,4018.2000000476837,4026.0999999046326,4034.0999999046326,4042.0999999046326,4050,4058.7999999523163,4066.0999999046326,4074.4000000953674,4082.0999999046326,4092.0999999046326,4098.400000095367,4104.099999904633,4114.099999904633,4120,4128.099999904633,4136,4144,4152,4160.099999904633,4168,4176.200000047684,4184,4192.5,4200.099999904633,4208.200000047684,4216.200000047684,4225.5,4232.299999952316,4240.099999904633,4248,4256.200000047684,4263.900000095367,4272.5,4280.099999904633,4288.099999904633,4296.5,4304.099999904633,4314.099999904633,4320,4328.099999904633,4338.200000047684,4344.700000047684,4352,4359.700000047684,4367.900000095367,4374.700000047684,4382.299999952316,4390.299999952316,4398,4406.900000095367,4414.099999904633,4422.099999904633,4461.900000095367,4561.900000095367",4561.900000095367,"NA"
