"player","pairIndex","answer","confidence","correct","xCoor","yCoor","tCoor","responseTime"
"361377359710841",105,-2,-1,0,"","","","NA"
"361377359710841",91,-2,-1,0,"-2.5,-3.5,-4.5,-10.5,-60.5,-99.5","26,26,26,24,13,4","0,62.89999997615814,77,86.5,101.59999996423721,111",111
"361377359710841",76,-2,-1,0,"-1.5,-1.5,-2.5,-3.5,-4.5,-7.5,-11.5,-17.5,-30.5,-56.5,-96.5,-147.5,-205.5,-278.5,-356.5,-446.5","27,28,28,28,28,29,29,29,29,29,29,29,31,40,44,54","0,91.60000002384186,341.69999998807907,357.80000001192093,365.69999998807907,374,381.80000001192093,389.9000000357628,397.80000001192093,405.9000000357628,413.80000001192093,421.9000000357628,429.80000001192093,437.69999998807907,445.80000001192093,453.80000001192093",453.80000001192093
