"player","pairIndex","answer","confidence","correct","xCoor","yCoor","tCoor","responseTime"
"507049591861947",105,1,"3",1,"0.5,-1.5,-2.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-3.5,-1.5,0.5,1.5,4.5,6.5,9.5,12.5,17.5,28.5,38.5,47.5,55.5,62.5,68.5,75.5,82.5,90.5,96.5,103.5,114.5,122.5,130.5,137.5,144.5,154.5,163.5,170.5,179.5,190.5,194.5,196.5,198.5,198.5,199.5,199.5,200.5,200.5,202.5,204.5,205.5,207.5,209.5,212.5,214.5,214.5","37,43,53,64,73,83,94,109,121,142,157,166,176,185,195,204,214,226,250,265,279,289,299,308,318,328,341,352,362,377,387,397,406,413,421,428,435,442,453,458,462,464,466,468,471,474,480,489,495,502,509,517,523,525,526","0,16,32,47.900000005960464,64,77.90000000596046,94.09999999403954,110.09999999403954,125.90000000596046,150,166,181.90000000596046,198,214,230.09999999403954,246,262,277.90000000596046,299.90000000596046,315.90000000596046,331.90000000596046,347.90000000596046,363.90000000596046,380,396.2000000178814,412.2000000178814,428.09999999403954,444,460.2000000178814,484.2000000178814,500.2000000178814,514,530.0999999940395,546,562.0999999940395,578.0999999940395,594.2000000178814,612,634.2000000178814,650,666.0999999940395,682,697.9000000059605,712,728.0999999940395,744,760,783.8000000119209,800,815.9000000059605,832,847.9000000059605,863.9000000059605,880,920.5",920.5
"507049591861947",1,0,"2",0,"0.5,-1.5,-2.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-3.5,-1.5,0.5,1.5,4.5,6.5,9.5,12.5,17.5,28.5,38.5,47.5,55.5,62.5,68.5,75.5,82.5,90.5,96.5,103.5,114.5,122.5,130.5,137.5,144.5,154.5,163.5,170.5,179.5,190.5,194.5,196.5,198.5,198.5,199.5,199.5,200.5,200.5,202.5,204.5,205.5,207.5,209.5,212.5,214.5,214.5,7.5,7.5,6.5,3.5,-1.5,-9.5,-16.5,-24.5,-36.5,-44.5,-50.5,-56.5,-64.5,-71.5,-79.5,-87.5,-95.5,-103.5,-115.5,-121.5,-126.5,-130.5,-134.5,-136.5,-138.5,-141.5,-143.5,-147.5,-149.5,-151.5,-154.5,-157.5,-162.5,-170.5,-175.5,-183.5,-191.5,-196.5,-199.5,-204.5,-207.5,-211.5,-217.5,-222.5,-227.5,-231.5,-233.5,-235.5,-236.5,-237.5","37,43,53,64,73,83,94,109,121,142,157,166,176,185,195,204,214,226,250,265,279,289,299,308,318,328,341,352,362,377,387,397,406,413,421,428,435,442,453,458,462,464,466,468,471,474,480,489,495,502,509,517,523,525,526,31,32,37,47,58,69,79,90,105,115,125,135,145,155,169,184,198,213,234,249,260,272,282,291,302,312,321,333,341,351,360,370,379,390,400,410,423,432,441,449,458,469,484,496,506,516,522,528,530,532","0,16,32,47.900000005960464,64,77.90000000596046,94.09999999403954,110.09999999403954,125.90000000596046,150,166,181.90000000596046,198,214,230.09999999403954,246,262,277.90000000596046,299.90000000596046,315.90000000596046,331.90000000596046,347.90000000596046,363.90000000596046,380,396.2000000178814,412.2000000178814,428.09999999403954,444,460.2000000178814,484.2000000178814,500.2000000178814,514,530.0999999940395,546,562.0999999940395,578.0999999940395,594.2000000178814,612,634.2000000178814,650,666.0999999940395,682,697.9000000059605,712,728.0999999940395,744,760,783.8000000119209,800,815.9000000059605,832,847.9000000059605,863.9000000059605,880,920.5,0,522,530,545.9000000059605,562,578,594.2000000178814,608.1000000238419,631.8000000119209,647.9000000059605,663.9000000059605,679.9000000059605,695.9000000059605,711.9000000059605,727.9000000059605,743.9000000059605,759.9000000059605,775.8000000119209,799.9000000059605,815.9000000059605,829.9000000059605,845.8000000119209,861.8000000119209,877.9000000059605,894,910.1000000238419,926,949.9000000059605,965.8000000119209,981.9000000059605,997.9000000059605,1013.8000000119209,1029.9000000059605,1046,1059.9000000059605,1075.9000000059605,1099.800000011921,1115.7000000178814,1131.7000000178814,1147.800000011921,1163.9000000059605,1179.9000000059605,1195.800000011921,1211.9000000059605,1228.4000000059605,1249.800000011921,1265.9000000059605,1281.9000000059605,1297.800000011921,1313.9000000059605",1313.9000000059605
"507049591861947",70,1,"3",0,"0.5,-1.5,-2.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-3.5,-1.5,0.5,1.5,4.5,6.5,9.5,12.5,17.5,28.5,38.5,47.5,55.5,62.5,68.5,75.5,82.5,90.5,96.5,103.5,114.5,122.5,130.5,137.5,144.5,154.5,163.5,170.5,179.5,190.5,194.5,196.5,198.5,198.5,199.5,199.5,200.5,200.5,202.5,204.5,205.5,207.5,209.5,212.5,214.5,214.5,7.5,7.5,6.5,3.5,-1.5,-9.5,-16.5,-24.5,-36.5,-44.5,-50.5,-56.5,-64.5,-71.5,-79.5,-87.5,-95.5,-103.5,-115.5,-121.5,-126.5,-130.5,-134.5,-136.5,-138.5,-141.5,-143.5,-147.5,-149.5,-151.5,-154.5,-157.5,-162.5,-170.5,-175.5,-183.5,-191.5,-196.5,-199.5,-204.5,-207.5,-211.5,-217.5,-222.5,-227.5,-231.5,-233.5,-235.5,-236.5,-237.5,-1.5,-0.5,2.5,4.5,7.5,8.5,11.5,13.5,15.5,18.5,20.5,23.5,28.5,36.5,48.5,68.5,87.5,113.5,139.5,156.5,168.5,177.5,181.5,183.5,183.5,175.5,164.5,153.5,140.5,121.5,89.5,58.5,19.5,-17.5,-28.5,-35.5,-43.5,-50.5,-56.5,-60.5,-62.5,-62.5,-61.5,-55.5,-32.5,0.5,41.5,87.5,131.5,163.5,180.5,185.5,185.5,176.5,158.5,124.5,83.5,27.5,-45.5,-124.5,-203.5,-301.5,-339.5,-354.5,-356.5,-357.5,-358.5,-359.5,-359.5,-360.5,-357.5,-310.5,-251.5,-181.5,-95.5,1.5,98.5,191.5,272.5,347.5,394.5,410.5,411.5,410.5,401.5,375.5,327.5,259.5,176.5,74.5,-25.5,-141.5,-174.5,-180.5,-180.5,-179.5,-166.5,-130.5,-82.5,7.5,72.5,135.5,186.5,214.5,222.5,222.5,218.5,204.5,172.5,100.5,26.5,-66.5,-158.5,-237.5,-296.5,-320.5,-325.5,-326.5,-321.5,-300.5,-252.5,-203.5,-139.5,-65.5,13.5,91.5,161.5,220.5,272.5,323.5,331.5,332.5,332.5,325.5,312.5,288.5,251.5,170.5,100.5,23.5,-13.5,-124.5,-185.5,-233.5,-259.5,-274.5,-286.5,-289.5,-292.5,-294.5,-287.5,-279.5,-271.5,-254.5,-225.5,-177.5,-75.5,-0.5,76.5,155.5,227.5,293.5,352.5,401.5,429.5,437.5,439.5,439.5,435.5,427.5,410.5,373.5,270.5,191.5,107.5,28.5,-43.5,-97.5,-132.5,-151.5,-162.5,-162.5,-162.5,-158.5,-144.5,-124.5,-95.5,-52.5,2.5,56.5,109.5,157.5,220.5,246.5,255.5,257.5,258.5,258.5,258.5,258.5,258.5,258.5,255.5,253.5,247.5,243.5,239.5,236.5,234.5,232.5,231.5,229.5,229.5,228.5","37,43,53,64,73,83,94,109,121,142,157,166,176,185,195,204,214,226,250,265,279,289,299,308,318,328,341,352,362,377,387,397,406,413,421,428,435,442,453,458,462,464,466,468,471,474,480,489,495,502,509,517,523,525,526,31,32,37,47,58,69,79,90,105,115,125,135,145,155,169,184,198,213,234,249,260,272,282,291,302,312,321,333,341,351,360,370,379,390,400,410,423,432,441,449,458,469,484,496,506,516,522,528,530,532,34,37,47,58,72,85,105,122,134,150,164,181,200,218,236,263,277,288,295,296,296,286,275,261,222,196,176,162,148,134,124,119,120,134,142,151,159,169,179,188,198,203,216,225,241,251,257,259,258,251,240,230,209,190,169,144,126,120,120,123,138,165,181,194,202,209,213,215,217,221,228,249,261,265,267,258,245,230,216,199,187,183,182,181,179,176,169,165,163,164,171,183,194,198,200,209,230,252,278,297,301,303,300,295,288,279,270,252,231,199,185,172,173,184,188,192,197,202,215,229,254,268,279,285,285,285,278,265,255,241,239,238,236,233,231,228,228,231,237,247,249,269,277,281,284,284,284,283,282,282,282,285,287,290,293,295,292,284,277,271,265,257,246,238,235,234,233,232,232,231,229,234,256,271,290,304,321,333,337,339,343,344,345,349,359,373,385,401,417,433,447,463,483,495,502,505,507,508,510,512,514,516,519,524,528,534,537,539,541,543,544,544,545,545","0,16,32,47.900000005960464,64,77.90000000596046,94.09999999403954,110.09999999403954,125.90000000596046,150,166,181.90000000596046,198,214,230.09999999403954,246,262,277.90000000596046,299.90000000596046,315.90000000596046,331.90000000596046,347.90000000596046,363.90000000596046,380,396.2000000178814,412.2000000178814,428.09999999403954,444,460.2000000178814,484.2000000178814,500.2000000178814,514,530.0999999940395,546,562.0999999940395,578.0999999940395,594.2000000178814,612,634.2000000178814,650,666.0999999940395,682,697.9000000059605,712,728.0999999940395,744,760,783.8000000119209,800,815.9000000059605,832,847.9000000059605,863.9000000059605,880,920.5,0,522,530,545.9000000059605,562,578,594.2000000178814,608.1000000238419,631.8000000119209,647.9000000059605,663.9000000059605,679.9000000059605,695.9000000059605,711.9000000059605,727.9000000059605,743.9000000059605,759.9000000059605,775.8000000119209,799.9000000059605,815.9000000059605,829.9000000059605,845.8000000119209,861.8000000119209,877.9000000059605,894,910.1000000238419,926,949.9000000059605,965.8000000119209,981.9000000059605,997.9000000059605,1013.8000000119209,1029.9000000059605,1046,1059.9000000059605,1075.9000000059605,1099.800000011921,1115.7000000178814,1131.7000000178814,1147.800000011921,1163.9000000059605,1179.9000000059605,1195.800000011921,1211.9000000059605,1228.4000000059605,1249.800000011921,1265.9000000059605,1281.9000000059605,1297.800000011921,1313.9000000059605,0,8,24,39.900000005960464,55.900000005960464,71.90000000596046,93.80000001192093,109.80000001192093,128,141.90000000596046,157.80000001192093,173.90000000596046,190,205.90000000596046,221.90000000596046,245.90000000596046,261.80000001192093,277.90000000596046,293.80000001192093,309.90000000596046,324,339.90000000596046,355.90000000596046,371.90000000596046,395.80000001192093,412,427.90000000596046,443.90000000596046,459.90000000596046,475.90000000596046,492,507.90000000596046,521.9000000059605,545.9000000059605,562.1000000238419,578,594,609.9000000059605,626,641.9000000059605,658,670.1000000238419,690.1000000238419,705.9000000059605,729.9000000059605,743.8000000119209,759.8000000119209,775.9000000059605,791.9000000059605,807.9000000059605,823.9000000059605,840,863.9000000059605,879.9000000059605,895.9000000059605,911.9000000059605,927.9000000059605,941.8000000119209,957.8000000119209,974,990,1014.1000000238419,1029.800000011921,1045.800000011921,1061.9000000059605,1077.9000000059605,1093.9000000059605,1109.9000000059605,1125.9000000059605,1141.9000000059605,1157.9000000059605,1179.9000000059605,1195.9000000059605,1211.9000000059605,1227.9000000059605,1243.9000000059605,1259.9000000059605,1275.9000000059605,1292,1309.9000000059605,1324.1000000238419,1339.9000000059605,1347.9000000059605,1377.9000000059605,1393.9000000059605,1409.9000000059605,1425.9000000059605,1442,1457.9000000059605,1474,1489.9000000059605,1513.9000000059605,1530,1545.9000000059605,1562,1577.9000000059605,1591.9000000059605,1607.9000000059605,1623.9000000059605,1647.800000011921,1663.9000000059605,1680,1697.800000011921,1711.9000000059605,1729.9000000059605,1743.9000000059605,1759.9000000059605,1775.9000000059605,1789.9000000059605,1813.800000011921,1829.9000000059605,1845.9000000059605,1861.800000011921,1877.9000000059605,1893.800000011921,1911.9000000059605,1925.9000000059605,1941.9000000059605,1958,1973.9000000059605,1997.9000000059605,2012,2027.9000000059605,2044,2061.9000000059605,2075.9000000059605,2092,2108.100000023842,2124,2147.9000000059605,2163.9000000059605,2171.9000000059605,2195.9000000059605,2211.9000000059605,2226,2241.9000000059605,2257.9000000059605,2281.9000000059605,2297.9000000059605,2314,2324,2345.9000000059605,2361.9000000059605,2377.9000000059605,2393.9000000059605,2409.9000000059605,2431.9000000059605,2447.9000000059605,2464,2479.9000000059605,2529.9000000059605,2543.9000000059605,2559.9000000059605,2576,2591.9000000059605,2608,2629.800000011921,2645.800000011921,2661.9000000059605,2678,2694,2709.9000000059605,2725.9000000059605,2743.9000000059605,2757.9000000059605,2773.9000000059605,2789.9000000059605,2846,2859.9000000059605,2875.9000000059605,2891.9000000059605,2907.9000000059605,2931.9000000059605,2947.9000000059605,2964,2979.9000000059605,2995.9000000059605,3011.9000000059605,3027.9000000059605,3043.9000000059605,3065.9000000059605,3074,3097.9000000059605,3113.800000011921,3129.9000000059605,3145.9000000059605,3161.9000000059605,3177.9000000059605,3194,3210,3225.9000000059605,3241.9000000059605,3265.9000000059605,3280,3296,3312,3328,3343.9000000059605,3360,3375.9000000059605,3391.9000000059605,3407.9000000059605,3431.9000000059605,3447.9000000059605,3463.9000000059605,3479.9000000059605,3493.9000000059605,3509.9000000059605,3525.9000000059605,3542,3557.9000000059605,3573.9000000059605,3598,3605.9000000059605",3605.9000000059605
