"player","index","answer","correct"
"941294318225424",12,1,1
"941294318225424",12,1,1
"941294318225424",13,1,0
"368218076570644",10,-2,0
"941294318225424",24,1,1
"941294318225424",15,1,0
"368218076570644",27,0,0
"368218076570644",13,0,1
"368218076570644",6,0,0
"941294318225424",5,-2,0
"368218076570644",2,0,1
"941294318225424",16,1,1
"941294318225424",27,1,1
"941294318225424",1,1,0
"941294318225424",25,1,0
"941294318225424",21,1,0
"941294318225424",6,1,1
"941294318225424",4,1,1
"941294318225424",9,1,1
"941294318225424",22,1,1
"941294318225424",23,1,1
"941294318225424",11,1,1
"941294318225424",2,1,0
"941294318225424",29,1,0
"941294318225424",26,1,1
"941294318225424",17,1,1
"941294318225424",20,1,0
"941294318225424",3,1,0
"941294318225424",28,1,1
"941294318225424",19,1,0
"941294318225424",14,1,0
"941294318225424",7,1,0
"941294318225424",10,1,1
"941294318225424",18,1,1
"941294318225424","NA","NA","NA"
"368218076570644",19,0,1
"368218076570644",17,0,0
"368218076570644",23,0,0
"368218076570644",29,0,1
"368218076570644",8,0,1
"368218076570644",11,0,0
"368218076570644",28,0,0
"368218076570644",7,0,1
"368218076570644",22,0,0
"368218076570644",12,0,0
"368218076570644",18,0,0
"368218076570644",20,0,1
"368218076570644",4,0,0
"368218076570644",25,0,1
"368218076570644",21,0,1
"368218076570644",24,0,0
"368218076570644",15,0,1
"368218076570644",1,0,1
"368218076570644",9,0,0
"368218076570644",3,0,1
"368218076570644",5,0,0
"368218076570644",16,0,0
"368218076570644",26,0,0
"368218076570644",14,0,1
