"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"426435205494801","house",0,0,3,"furnished","NO ANSWER",0,0,2502,25,751
"426435205494801","house",2,0,0,"leaky","NO ANSWER",0,0,2502,22,752
"426435205494801","house",3,0,1,"roomy","NO ANSWER",0,0,2504,21,751
"426435205494801","house",2,0,4,"drafty","NO ANSWER",0,0,2505,33,752
"426435205494801","house",4,0,3,"furnished","NO ANSWER",0,0,2502,24,751
"426435205494801","house",2,0,1,"roomy","NO ANSWER",0,0,2502,21,751
"426435205494801","person",0,1,1,"kind","NO ANSWER",1,0,2501,26,751
"426435205494801","house",4,0,2,"wooden","NO ANSWER",0,0,2502,22,751
"426435205494801","person",4,1,3,"bad","NO ANSWER",1,0,2501,23,750
"426435205494801","house",2,0,5,"thatch","NO ANSWER",0,0,2501,25,751
"426435205494801","person",2,1,1,"kind","NO ANSWER",1,0,2501,23,751
"426435205494801","house",4,0,1,"roomy","NO ANSWER",0,0,2510,21,751
