"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"560081368155461","person",1,1,3,"bad","NO ANSWER",1,0,2509,21,754
"560081368155461","person",2,1,1,"kind","NO ANSWER",1,0,2516,22,765
"560081368155461","person",3,1,5,"untrustworthy","NO ANSWER",1,0,2501,22,765
"560081368155461","person",4,1,3,"bad","NO ANSWER",1,0,2512,21,752
"560081368155461","person",1,1,5,"untrustworthy","NO ANSWER",1,0,2515,21,764
"560081368155461","person",2,1,3,"bad","NO ANSWER",1,0,2503,21,762
"560081368155461","person",3,1,2,"trustworthy","NO ANSWER",1,0,2513,22,763
"560081368155461","person",4,1,5,"untrustworthy","NO ANSWER",1,0,2508,22,766
"560081368155461","person",1,1,1,"kind","NO ANSWER",1,0,2503,22,759
"560081368155461","person",2,1,2,"trustworthy","NO ANSWER",1,0,2509,21,758
"560081368155461","person",3,1,3,"bad","NO ANSWER",1,0,2515,22,750
"560081368155461","person",4,1,2,"trustworthy","NO ANSWER",1,0,2516,21,764
"560081368155461","person",1,1,0,"good","NO ANSWER",1,0,2507,22,750
"560081368155461","person",2,1,5,"untrustworthy","NO ANSWER",1,0,2511,22,752
"560081368155461","person",3,1,1,"kind","NO ANSWER",1,0,2515,23,763
"560081368155461","person",4,1,1,"kind","NO ANSWER",1,0,2511,21,764
"560081368155461","person",1,1,4,"cruel","NO ANSWER",1,0,2510,21,765
"560081368155461","person",2,1,4,"cruel","NO ANSWER",1,0,2516,21,765
"560081368155461","person",3,1,4,"cruel","NO ANSWER",1,0,2503,22,752
"560081368155461","person",4,1,4,"cruel","NO ANSWER",1,0,2504,22,764
"560081368155461","person",1,1,2,"trustworthy","NO ANSWER",1,0,2512,22,759
"560081368155461","person",2,1,0,"good","NO ANSWER",1,0,2515,24,788
"560081368155461","person",3,1,0,"good","NO ANSWER",1,0,2504,20,761
"560081368155461","person",4,1,0,"good","NO ANSWER",1,0,2507,22,764
"560081368155461","person",1,1,"NA","NA","NO ANSWER",1,0,2510,24,752
"560081368155461","person",2,1,"NA","NA","NO ANSWER",1,0,2507,22,754
"560081368155461","person",3,1,"NA","NA","NO ANSWER",1,0,2514,21,751
"560081368155461","person",4,1,"NA","NA","NO ANSWER",1,0,2504,21,751
"560081368155461","person",1,1,"NA","NA","NO ANSWER",1,0,2505,21,764
"560081368155461","person",2,1,"NA","NA","NO ANSWER",1,0,2515,21,755
