"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"916404076560039","house",2,0,0,"leaky","NO ANSWER",0,0,3033,3013,10008
"916404076560039","house",2,0,1,"roomy","NO ANSWER",0,0,3023,3011,10007
"916404076560039","person",0,1,1,"kind","NO ANSWER",1,0,3017,3004,10002
"916404076560039","house",4,0,2,"wooden","NO ANSWER",0,0,3003,3016,10002
"916404076560039","person",4,1,3,"bad","NO ANSWER",1,0,3012,3010,10003
"916404076560039","house",2,0,5,"thatch","NO ANSWER",0,0,3005,3014,10006
"916404076560039","person",2,1,1,"kind","NO ANSWER",1,0,3017,3010,10008
"916404076560039","house",4,0,1,"roomy","NO ANSWER",0,0,3008,3008,10005
"916404076560039","house",1,0,3,"furnished","NO ANSWER",0,0,3004,3008,10011
