"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_CorrectAnswer","ibt_AnswerIsCorrect","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"894241627335768","person",3,1,5,"untrustworthy","NO ANSWER","someAnswer",0,201,764
"894241627335768","house",1,0,3,"furnished","NO ANSWER","someAnswer",0,216,762
"894241627335768","person",4,1,3,"bad","NO ANSWER","someAnswer",0,217,760
"894241627335768","house",2,0,0,"leaky","NO ANSWER","someAnswer",0,213,764
"894241627335768","person",2,1,1,"kind","NO ANSWER","someAnswer",0,215,753
"894241627335768","house",3,0,1,"roomy","NO ANSWER","someAnswer",0,215,762
"894241627335768","house",2,0,4,"drafty","NO ANSWER","someAnswer",0,210,761
"894241627335768","person",1,1,3,"bad","NO ANSWER","someAnswer",0,203,761
"894241627335768","house",4,0,3,"furnished","NO ANSWER","someAnswer",0,216,757
"894241627335768","person",3,1,2,"trustworthy","NO ANSWER","someAnswer",0,214,754
"894241627335768","house",2,0,1,"roomy","NO ANSWER","someAnswer",0,201,753
"894241627335768","person",2,1,3,"bad","NO ANSWER","someAnswer",0,214,772
"894241627335768","house",4,0,2,"wooden","NO ANSWER","someAnswer",0,229,785
"894241627335768","house",2,0,5,"thatch","NO ANSWER","someAnswer",0,222,751
"894241627335768","house",2,0,3,"furnished","NO ANSWER","someAnswer",0,210,758
"894241627335768","house",1,0,1,"roomy","NO ANSWER","someAnswer",0,207,761
"894241627335768","house",3,0,5,"thatch","NO ANSWER","someAnswer",0,210,760
"894241627335768","house",4,0,1,"roomy","NO ANSWER","someAnswer",0,214,758
"894241627335768","person",1,1,5,"untrustworthy","NO ANSWER","someAnswer",0,215,762
"894241627335768","house",3,0,4,"drafty","NO ANSWER","someAnswer",0,212,766
"894241627335768","person",2,1,2,"trustworthy","NO ANSWER","someAnswer",0,215,752
