"player","index","answer","correct","xCoor","yCoor","tCoor","dtd"
"285567601463846",6,1,1,"0,0.002190580503833516,0.0065717415115005475,0.008762322015334063,0.01095290251916758,0.012048192771084338,0.013143483023001095,0.014238773274917854,0.01533406352683461,0.01642935377875137,0.01642935377875137,0.01642935377875137,0.01642935377875137,0.01642935377875137,0.017524644030668127,0.0208105147864184,0.025191675794085433,0.03176341730558598,0.03614457831325301,0.040525739320920046,0.04271631982475356,0.044906900328587074,0.04819277108433735,0.04928806133625411,0.05366922234392114,0.05914567360350493,0.06681270536692223,0.0755750273822563,0.08543263964950712,0.0963855421686747,0.10733844468784227,0.11610076670317634,0.1248630887185104,0.13253012048192772,0.13910186199342825,0.1456736035049288,0.15005476451259583,0.1566265060240964,0.16210295728368018,0.1686746987951807,0.1741511500547645,0.17853231106243153,0.18400876232201532,0.18838992332968238,0.19167579408543264,0.1927710843373494,0.19386637458926614,0.19605695509309967,0.19715224534501644,0.1982475355969332,0.19934282584884994,0.2004381161007667,0.2004381161007667,0.20153340635268346,0.20372398685651696,0.20481927710843373,0.2059145673603505,0.20700985761226726,0.20810514786418402,0.21029572836801752,0.21248630887185105,0.21358159912376778,0.21467688937568455,0.2157721796276013,0.2157721796276013,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21686746987951808,0.21796276013143484","581,581,581,581,581,581,581,580,579,578,577,576,575,574,573,557,535,511,489,467,451,438,425,417,404,388,370,348,321,297,270,248,229,213,200,190,182,171,161,150,137,127,117,109,100,92,86,81,76,72,68,65,62,58,55,51,47,40,36,29,25,20,16,14,13,12,11,12,13,14,15,16,17,18,19,20,20","0,7.899999618530273,16.199999809265137,24.199999809265137,32.09999990463257,40,48,56.09999990463257,64.19999980926514,72.39999961853027,80.19999980926514,88,144,245.89999961853027,451.8999996185303,460.3999996185303,468.09999990463257,476,484.09999990463257,492,500.09999990463257,508,516,524.0999999046326,532.0999999046326,540.0999999046326,548.0999999046326,556,562,572,578.0999999046326,586.0999999046326,594,602.0999999046326,610.0999999046326,618.1999998092651,626.0999999046326,634.0999999046326,642,650.0999999046326,658.0999999046326,668.0999999046326,674,682,690,698.0999999046326,706.5,714.2999997138977,722.0999999046326,730.3999996185303,738.0999999046326,746.0999999046326,754.1999998092651,762.0999999046326,768,776,784.0999999046326,792.0999999046326,800.2999997138977,808.0999999046326,816.1999998092651,824.1999998092651,832.0999999046326,840.0999999046326,848.1999998092651,856,896,1046,1054,1062,1070.0999999046326,1078.0999999046326,1086.0999999046326,1102.0999999046326,1118.0999999046326,1134.1999998092651,1228",6000
"285567601463846",4,0,0,"0,0.004796163069544364,0.007194244604316547,0.009592326139088728,0.011990407673860911,0.014388489208633094,0.016786570743405275,0.02158273381294964,0.023980815347721823,0.026378896882494004,0.02877697841726619,0.02877697841726619,0.03117505995203837,0.03117505995203837,0.03117505995203837,0.03117505995203837,0.03117505995203837,0.03117505995203837,0.026378896882494004,0.016786570743405275,0.007194244604316547,-0.007194244604316547,-0.026378896882494004,-0.05275779376498801,-0.0815347721822542,-0.11510791366906475,-0.1486810551558753,-0.18225419664268586,-0.20863309352517986,-0.23261390887290168,-0.26139088729016785,-0.2949640287769784,-0.328537170263789,-0.35731414868105515,-0.38609112709832133,-0.4148681055155875,-0.434052757793765,-0.4556354916067146,-0.4724220623501199,-0.486810551558753,-0.5011990407673861,-0.513189448441247,-0.5227817745803357,-0.5347721822541966,-0.5491606714628298,-0.5587529976019184,-0.5707434052757794,-0.580335731414868,-0.592326139088729,-0.6067146282973621,-0.6163069544364509,-0.6258992805755396,-0.6354916067146283,-0.6426858513189448,-0.6498800959232613,-0.6594724220623501,-0.6618705035971223,-0.6642685851318945,-0.6666666666666666,-0.6690647482014388,-0.6690647482014388,-0.6666666666666666,-0.6642685851318945,-0.6618705035971223,-0.6594724220623501,-0.657074340527578,-0.6546762589928058,-0.6546762589928058","576,572,569,564,559,555,550,545,540,536,531,528,524,521,517,514,511,507,503,498,489,480,465,448,430,412,394,376,362,348,331,309,286,264,242,220,205,189,176,163,152,142,131,121,110,102,92,84,74,65,57,51,43,36,32,27,23,20,18,17,16,17,17,18,19,20,20,21","0,10,16.300000190734863,24,32.30000019073486,40.09999990463257,48,56.40000009536743,64,72,80.09999990463257,88.09999990463257,96.09999990463257,104.09999990463257,112.09999990463257,120,128,136.09999990463257,144.09999990463257,152,159.90000009536743,168.2000002861023,174.09999990463257,184,190.09999990463257,198,206.09999990463257,214,222.09999990463257,230,238.09999990463257,246,254,262,270,278.09999990463257,286,294.2000002861023,302,310,318.09999990463257,326,334,342,350.2000002861023,358,364,374.09999990463257,380,388.40000009536743,396.09999990463257,404,413.09999990463257,420.2000002861023,428.2000002861023,436.09999990463257,444.09999990463257,452.09999990463257,460,470,476.09999990463257,594,602,610.0999999046326,618.0999999046326,634.5999999046326,642,650.9000000953674",6000
"285567601463846",2,1,1,"0,0.0010741138560687433,0.00322234156820623,0.00644468313641246,0.010741138560687433,0.013963480128893663,0.01933404940923738,0.024704618689581095,0.03007518796992481,0.03759398496240601,0.04189044038668099,0.05155746509129968,0.05692803437164339,0.06229860365198711,0.06552094522019335,0.06766917293233082,0.07089151450053706,0.07411385606874328,0.07626208378088077,0.08055853920515575,0.08163265306122448,0.08270676691729323,0.08592910848549946,0.08915145005370569,0.09344790547798067,0.09774436090225563,0.10204081632653061,0.10741138560687433,0.11170784103114931,0.11707841031149302,0.12244897959183673,0.12781954887218044,0.13319011815252416,0.1385606874328679,0.1439312567132116,0.14930182599355532,0.15467239527389903,0.158968850698174,0.16433941997851773,0.1686358754027927,0.17293233082706766,0.17722878625134264,0.18152524167561762,0.18474758324382384,0.18904403866809882,0.1933404940923738,0.19548872180451127,0.19978517722878625,0.20300751879699247,0.20730397422126745,0.21052631578947367,0.21482277121374865,0.21911922663802363,0.22234156820622986,0.22556390977443608,0.22878625134264233,0.22986036519871106,0.23093447905477982,0.23200859291084855,0.23308270676691728,0.23415682062298604,0.23523093447905477,0.23630504833512353,0.23845327604726102,0.23952738990332975,0.24060150375939848,0.24167561761546724,0.24274973147153597,0.24382384532760473,0.24489795918367346,0.24489795918367346,0.24597207303974222,0.24597207303974222,0.24597207303974222,0.24597207303974222","588,588,586,581,575,569,558,545,532,516,503,485,469,456,446,438,429,423,415,399,394,390,383,375,367,359,348,338,329,316,303,290,275,262,249,233,220,212,204,195,187,181,173,168,163,158,154,151,147,144,140,136,133,129,127,125,123,119,117,115,112,108,105,101,98,95,91,89,87,85,84,83,82,81,80","0,16.09999990463257,23.90000009536743,32,40,48,56,64,72,80.19999980926514,88,94,102,110,118.09999990463257,126.09999990463257,134,142.09999990463257,150.09999990463257,166.09999990463257,173.90000009536743,182,190.19999980926514,198.40000009536743,206.09999990463257,214,222,230.19999980926514,238.09999990463257,246.09999990463257,254,262.09999990463257,270.09999990463257,278.09999990463257,286.09999990463257,292.09999990463257,300.09999990463257,308.40000009536743,316.09999990463257,324.09999990463257,332.09999990463257,340,348.09999990463257,356.09999990463257,364,372,380.09999990463257,388,396.09999990463257,404,412,420.09999990463257,428.09999990463257,436,444.19999980926514,452,460,468,476.09999990463257,482.09999990463257,490,498.09999990463257,506.19999980926514,514.4000000953674,522.0999999046326,530.0999999046326,538.6999998092651,546.0999999046326,554.0999999046326,562.0999999046326,570,578.0999999046326,586.1999998092651,674.3000001907349,711.8000001907349",6000
"285567601463846",5,0,1,"0,0.000002304965356370694,0.000006914896069112082,0.000013829792138224163,0.000023049653563706937,0.00002996454963281902,0.000041489376414672485,0.000053014203196525955,0.00006453902997837943,0.00008067378747297427,0.00008989364889845705,0.0001106383371057933,0.00012216316388764676,0.00013368799066950025,0.00014060288673861234,0.0001452128174513537,0.0001521277135204658,0.00015904260958957784,0.00016365254030231924,0.00017287240172780203,0.0001751773670841727,0.0001774823324405434,0.0001843972285096555,0.00019131212457876756,0.00020053198600425036,0.00020975184742973312,0.00021897170885521591,0.00023049653563706938,0.00023971639706255217,0.0002512412238444056,0.0002627660506262591,0.00027429087740811253,0.000285815704189966,0.0002973405309718195,0.000308865357753673,0.00032039018453552644,0.0003319150113173799,0.00034113487274286267,0.00035265969952471616,0.00036187956095019895,0.0003710994223756817,0.0003803192838011645,0.0003895391452266473,0.0003964540412957593,0.0004056739027212421,0.0004148937641467249,0.00041950369485946624,0.00042872355628494903,0.0004356384523540611,0.00044485831377954387,0.00045177320984865596,0.00046099307127413875,0.00047021293269962155,0.0004771278287687336,0.0004840427248378457,0.0004909576209069578,0.0004932625862633284,0.0004955675516196992,0.0004978725169760698,0.0005001774823324406,0.0005024824476888112,0.000504787413045182,0.0005070923784015526,0.000511702309114294,0.0005140072744706648,0.0005163122398270354,0.0005186172051834062,0.0005209221705397768,0.0005232271358961474,0.0005255321012525182,0.0005255321012525182,0.0005278370666088888,0.0005278370666088888,0.0005278370666088888,0.0005278370666088888,1.444206008583691,1.4377682403433476,1.4291845493562232,1.4206008583690988,1.4120171673819744,1.405579399141631,1.3927038626609443,1.3776824034334765,1.351931330472103,1.3283261802575108,1.298283261802575,1.2660944206008584,1.2360515021459229,1.2103004291845494,1.1824034334763949,1.1566523605150214,1.1394849785407726,1.128755364806867,1.1158798283261802,1.1051502145922747,1.094420600858369,1.0879828326180256,1.0793991416309012,1.0751072961373391,1.0686695278969958,1.0665236051502145,1.0600858369098713,1.05793991416309,1.055793991416309,1.0493562231759657,1.0472103004291846,1.0450643776824033,1.0429184549356223,1.0407725321888412,1.03862660944206,1.03862660944206,1.0343347639484979,1.0321888412017168,1.0300429184549356,1.0300429184549356,1.0278969957081545,1.0236051502145922,1.0214592274678111,1.01931330472103,1.01931330472103,1.0171673819742488,1.0150214592274678,1.0128755364806867,1.0107296137339057,1.0085836909871244,1.0085836909871244,1.0085836909871244,1.0064377682403434,1.0064377682403434,1.0042918454935623,1.0042918454935623,1.002145922746781,1.002145922746781,1,1","588,588,586,581,575,569,558,545,532,516,503,485,469,456,446,438,429,423,415,399,394,390,383,375,367,359,348,338,329,316,303,290,275,262,249,233,220,212,204,195,187,181,173,168,163,158,154,151,147,144,140,136,133,129,127,125,123,119,117,115,112,108,105,101,98,95,91,89,87,85,84,83,82,81,80,580,575,570,565,559,552,543,530,510,493,467,438,412,383,358,332,310,291,276,260,247,234,223,215,205,196,190,184,179,173,170,165,160,155,151,145,141,135,131,126,120,115,110,105,101,97,94,92,88,87,86,85,84,83,83,82,82,81,80,79","0,16.09999990463257,23.90000009536743,32,40,48,56,64,72,80.19999980926514,88,94,102,110,118.09999990463257,126.09999990463257,134,142.09999990463257,150.09999990463257,166.09999990463257,173.90000009536743,182,190.19999980926514,198.40000009536743,206.09999990463257,214,222,230.19999980926514,238.09999990463257,246.09999990463257,254,262.09999990463257,270.09999990463257,278.09999990463257,286.09999990463257,292.09999990463257,300.09999990463257,308.40000009536743,316.09999990463257,324.09999990463257,332.09999990463257,340,348.09999990463257,356.09999990463257,364,372,380.09999990463257,388,396.09999990463257,404,412,420.09999990463257,428.09999990463257,436,444.19999980926514,452,460,468,476.09999990463257,482.09999990463257,490,498.09999990463257,506.19999980926514,514.4000000953674,522.0999999046326,530.0999999046326,538.6999998092651,546.0999999046326,554.0999999046326,562.0999999046326,570,578.0999999046326,586.1999998092651,674.3000001907349,711.8000001907349,0,7.900000095367432,16.199999809265137,24,32.09999990463257,40,48,58,64,72,80,86.09999990463257,96.19999980926514,102.19999980926514,110.09999990463257,118.30000019073486,126.30000019073486,134.09999990463257,142.09999990463257,150.09999990463257,158.09999990463257,166.19999980926514,174,182.09999990463257,190.30000019073486,198,206.09999990463257,214.19999980926514,222,230.09999990463257,238.09999990463257,246.09999990463257,254.19999980926514,262.09999990463257,270.09999990463257,276.09999990463257,286,292,300.09999990463257,308,315.90000009536743,324.19999980926514,332.09999990463257,340,350.09999990463257,358.09999990463257,364.09999990463257,377.5,388.09999990463257,396,404.09999990463257,414,420.09999990463257,428,436.09999990463257,444,452.19999980926514,460,466.09999990463257,562.3000001907349",6000
