"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"108787619963796","person",1,1,3,"bad","NO ANSWER",1,0,2004,2002,2001
"108787619963796","person",2,1,1,"kind","NO ANSWER",1,0,2003,2002,2001
"108787619963796","person",3,1,5,"untrustworthy","YES",1,1,2002,2001,723
"108787619963796","person",4,1,3,"bad","NO ANSWER",1,0,2003,2002,2002
"108787619963796","person",1,1,5,"untrustworthy","NO ANSWER",1,0,2004,2002,2001
"108787619963796","person",2,1,3,"bad","NO ANSWER",1,0,2004,2002,2001
"108787619963796","person",3,1,2,"trustworthy","NO ANSWER",1,0,2002,2002,2002
"108787619963796","person",4,1,5,"untrustworthy","NO ANSWER",1,0,2004,2001,2001
"108787619963796","person",1,1,1,"kind","NO ANSWER",1,0,2002,2002,2000
"108787619963796","person",2,1,2,"trustworthy","NO ANSWER",1,0,2002,2003,2003
"108787619963796","person",3,1,3,"bad","NO ANSWER",1,0,2005,2003,2002
"108787619963796","person",4,1,2,"trustworthy","NO ANSWER",1,0,2002,2002,2001
"108787619963796","person",1,1,0,"good","NO ANSWER",1,0,2003,2002,2002
"108787619963796","person",2,1,5,"untrustworthy","NO ANSWER",1,0,2016,2002,2001
"108787619963796","person",3,1,1,"kind","NO ANSWER",1,0,2006,2003,2001
"108787619963796","person",4,1,1,"kind","NO ANSWER",1,0,2005,2001,2001
"108787619963796","person",1,1,4,"cruel","NO ANSWER",1,0,2003,2005,2001
"108787619963796","person",2,1,4,"cruel","NO ANSWER",1,0,2007,2003,2002
"108787619963796","person",3,1,4,"cruel","NO ANSWER",1,0,2002,2003,2000
"108787619963796","person",1,1,2,"trustworthy","NO ANSWER",1,0,2002,2002,2001
"108787619963796","person",3,1,0,"good","NO ANSWER",1,0,2001,2003,2003
"108787619963796","person",4,1,0,"good","NO ANSWER",1,0,2503,22,752
"108787619963796","person",1,1,"NA","NA","NO ANSWER",1,0,2501,22,752
"108787619963796","person",2,1,"NA","NA","NO ANSWER",1,0,2503,27,752
"108787619963796","person",3,1,"NA","NA","NO ANSWER",1,0,2504,22,752
"108787619963796","person",4,1,"NA","NA","NO ANSWER",1,0,2502,21,757
"108787619963796","person",1,1,"NA","NA","NO ANSWER",1,0,2503,22,752
"108787619963796","person",2,1,"NA","NA","NO ANSWER",1,0,2503,22,751
