"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_CorrectAnswer","ibt_AnswerIsCorrect","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"688598156637676","person",3,1,1,"untrustworthy","NO ANSWER","someAnswer",0,57,764
"688598156637676","house",1,0,0,"furnished","NO ANSWER","someAnswer",0,23,764
"688598156637676","person",4,1,1,"bad","NO ANSWER","someAnswer",0,23,753
"688598156637676","house",2,0,0,"leaky","NO ANSWER","someAnswer",0,23,758
"688598156637676","person",2,1,1,"kind","NO ANSWER","someAnswer",0,23,759
"688598156637676","house",3,0,0,"roomy","NO ANSWER","someAnswer",0,22,762
"688598156637676","house",2,0,0,"drafty","NO ANSWER","someAnswer",0,24,755
"688598156637676","person",1,1,1,"bad","NO ANSWER","someAnswer",0,26,753
"688598156637676","house",4,0,0,"furnished","NO ANSWER","someAnswer",0,22,752
"688598156637676","person",3,1,1,"trustworthy","NO ANSWER","someAnswer",0,31,764
"688598156637676","house",2,0,0,"roomy","NO ANSWER","someAnswer",0,23,757
"688598156637676","person",2,1,1,"bad","NO ANSWER","someAnswer",0,25,767
"688598156637676","house",4,0,0,"wooden","NO ANSWER","someAnswer",0,25,757
"688598156637676","house",2,0,0,"thatch","NO ANSWER","someAnswer",0,25,754
"688598156637676","house",2,0,0,"furnished","NO ANSWER","someAnswer",0,25,755
"688598156637676","house",1,0,0,"roomy","NO ANSWER","someAnswer",0,23,754
"688598156637676","house",3,0,0,"thatch","NO ANSWER","someAnswer",0,22,755
"688598156637676","house",4,0,0,"roomy","NO ANSWER","someAnswer",0,26,762
"688598156637676","person",1,1,1,"untrustworthy","NO ANSWER","someAnswer",0,22,755
"688598156637676","house",3,0,0,"drafty","NO ANSWER","someAnswer",0,22,754
"688598156637676","person",2,1,1,"trustworthy","NO ANSWER","someAnswer",0,23,757
"688598156637676","person",1,1,1,"kind","NO ANSWER","someAnswer",0,22,758
"688598156637676","house",2,0,0,"wooden","NO ANSWER","someAnswer",0,22,757
"688598156637676","house",3,0,0,"leaky","NO ANSWER","someAnswer",0,22,758
"688598156637676","person",4,1,1,"untrustworthy","NO ANSWER","someAnswer",0,22,766
"688598156637676","person",3,1,1,"bad","NO ANSWER","someAnswer",0,24,757
"688598156637676","house",1,0,0,"thatch","NO ANSWER","someAnswer",0,22,759
"688598156637676","person",1,1,1,"good","NO ANSWER","someAnswer",0,22,754
"688598156637676","house",4,0,0,"leaky","NO ANSWER","someAnswer",0,23,759
"688598156637676","person",4,1,1,"trustworthy","NO ANSWER","someAnswer",0,32,755
"688598156637676","house",1,0,0,"wooden","NO ANSWER","someAnswer",0,23,758
"688598156637676","house",2,0,0,"NA","NO ANSWER","someAnswer",0,23,759
"688598156637676","person",1,1,1,"cruel","NO ANSWER","someAnswer",0,23,764
"688598156637676","house",4,0,0,"thatch","NO ANSWER","someAnswer",0,25,755
"688598156637676","house",3,0,0,"wooden","NO ANSWER","someAnswer",0,24,764
"688598156637676","person",3,1,1,"kind","NO ANSWER","someAnswer",0,24,756
"688598156637676","house",4,0,0,"drafty","NO ANSWER","someAnswer",0,23,755
"688598156637676","person",3,1,1,"cruel","NO ANSWER","someAnswer",0,23,755
"688598156637676","house",3,0,0,"furnished","NO ANSWER","someAnswer",0,23,753
"688598156637676","person",2,1,1,"untrustworthy","NO ANSWER","someAnswer",0,23,753
"688598156637676","house",3,0,0,"NA","NO ANSWER","someAnswer",0,25,752
"688598156637676","person",4,1,1,"kind","NO ANSWER","someAnswer",0,29,754
"688598156637676","person",2,1,1,"cruel","NO ANSWER","someAnswer",0,25,755
"688598156637676","person",4,1,1,"cruel","NO ANSWER","someAnswer",0,22,767
"688598156637676","house",1,0,0,"leaky","NO ANSWER","someAnswer",0,22,767
"688598156637676","person",1,1,1,"trustworthy","NO ANSWER","someAnswer",0,22,753
"688598156637676","house",1,0,0,"drafty","NO ANSWER","someAnswer",0,26,758
"688598156637676","person",2,1,1,"good","NO ANSWER","someAnswer",0,21,758
"688598156637676","person",4,1,1,"good","NO ANSWER","someAnswer",0,23,754
"688598156637676","house",4,0,0,"NA","NO ANSWER","someAnswer",0,22,759
"688598156637676","person",3,1,1,"good","NO ANSWER","someAnswer",0,25,756
"688598156637676","person",4,1,1,"NA","NO ANSWER","someAnswer",0,23,766
"688598156637676","house",4,0,0,"NA","NO ANSWER","someAnswer",0,23,754
"688598156637676","person",2,1,1,"NA","NO ANSWER","someAnswer",0,24,766
"688598156637676","person",1,1,1,"NA","NO ANSWER","someAnswer",0,24,757
"688598156637676","house",1,0,0,"NA","NO ANSWER","someAnswer",0,26,764
"688598156637676","person",2,1,1,"NA","NO ANSWER","someAnswer",0,33,757
"688598156637676","house",4,0,0,"NA","NO ANSWER","someAnswer",0,22,758
"688598156637676","person",3,1,1,"NA","NO ANSWER","someAnswer",0,58,755
"688598156637676","person",4,1,1,"NA","NO ANSWER","someAnswer",0,23,756
