"player","tutoTime","expTime","surveyTime","surveyTime2"
"380582049140398","NA","NA",29,"NA"
"380582049140398","NA","NA",29,"NA"
"145887777693681","NA","NA",20,"NA"
"145887777693681","NA","NA",20,"NA"
