"player","index","answer","confidence","correct","xCoor","yCoor","tCoor"
"211682979781884",4,0,"2",0,"0,-0.0021413276231263384,-0.006423982869379015,-0.008565310492505354,-0.010706638115631691,-0.014989293361884369,-0.021413276231263382,-0.029978586723768737,-0.04068522483940043,-0.04925053533190578,-0.059957173447537475,-0.07494646680942184,-0.08993576017130621,-0.10492505353319058,-0.11991434689507495,-0.13062098501070663,-0.145610278372591,-0.15845824411134904,-0.1734475374732334,-0.1841541755888651,-0.19914346895074947,-0.21627408993576017,-0.2291220556745182,-0.2398286937901499,-0.2505353319057816,-0.2633832976445396,-0.2740899357601713,-0.284796573875803,-0.29336188436830835,-0.30406852248394006,-0.31049250535331907,-0.31905781584582443,-0.32548179871520344,-0.32762312633832974,-0.3340471092077088,-0.33832976445396146,-0.3404710920770878,-0.3426124197002141,-0.3468950749464668,-0.3511777301927195,-0.3533190578158458,-0.35974304068522484,-0.3618843683083512,-0.3640256959314775,-0.36616702355460384,-0.37259100642398285,-0.3747323340471092,-0.37687366167023556,-0.37901498929336186,-0.3811563169164882,-0.38329764453961457,-0.3854389721627409,-0.3875802997858672,-0.3897216274089936,-0.3961456102783726,-0.39828693790149894,-0.4025695931477516,-0.40471092077087795,-0.4089935760171306,-0.41113490364025695,-0.4132762312633833,-0.41541755888650966,-0.41755888650963596,-0.4197002141327623,-0.42184154175588867,-0.42398286937901497,-0.4261241970021413,-0.4282655246252677,-0.430406852248394,-0.43254817987152033,-0.4346895074946467,-0.43683083511777304,-0.43897216274089934,-0.4411134903640257,-0.44325481798715205,-0.44539614561027835,-0.4475374732334047,-0.44967880085653106,-0.4518201284796574,-0.4539614561027837,-0.45610278372591007,-0.4582441113490364,-0.4603854389721627,-0.4625267665952891,-0.46466809421841543,-0.4668094218415418,-0.4689507494646681,-0.4689507494646681,-0.47109207708779444,-0.47109207708779444","585,581,578,575,571,566,562,551,541,530,517,501,486,470,454,441,428,415,402,386,368,349,331,315,299,284,271,258,247,237,226,218,210,204,197,191,185,180,175,171,166,160,155,150,145,141,137,135,132,130,127,125,124,122,120,118,117,115,113,112,110,109,108,107,106,105,104,103,102,101,99,98,97,96,95,94,93,91,90,89,88,87,86,85,84,83,82,81,81,80","0,8.200000286102295,16.200000286102295,24.200000286102295,32.30000019073486,40.30000019073486,48.30000019073486,56.200000286102295,64.2000002861023,72.2000002861023,80.09999990463257,88.09999990463257,96.09999990463257,104.2000002861023,112.09999990463257,120.09999990463257,128.09999990463257,136.09999990463257,144.09999990463257,152.2000002861023,160.09999990463257,168.2000002861023,174.2000002861023,182.2000002861023,192.09999990463257,198.40000009536743,206.09999990463257,214,222.2000002861023,230.09999990463257,238.09999990463257,246.09999990463257,254.2000002861023,262.2000002861023,270.40000009536743,278.09999990463257,286.40000009536743,294.09999990463257,302.59999990463257,310.09999990463257,318.40000009536743,326.30000019073486,334.09999990463257,342.2000002861023,350.09999990463257,358.09999990463257,366.09999990463257,374.09999990463257,382.30000019073486,390.09999990463257,396.09999990463257,404.30000019073486,412.09999990463257,420.2000002861023,428.09999990463257,436.09999990463257,444.09999990463257,452.30000019073486,460,468.2000002861023,476.2000002861023,484.09999990463257,492,500,508.09999990463257,516.0999999046326,524.0999999046326,532,540.0999999046326,548,556.2000002861023,564.0999999046326,572.2000002861023,580.2000002861023,588.4000000953674,596.0999999046326,602.0999999046326,612.0999999046326,618.0999999046326,626.2000002861023,634.2000002861023,642.0999999046326,650.0999999046326,658.0999999046326,666.3000001907349,674.0999999046326,682.0999999046326,698.3000001907349,706.2000002861023,722.0999999046326"
"211682979781884",1,1,"3",0,"0,0.001075268817204301,0.001075268817204301,0.002150537634408602,0.004301075268817204,0.005376344086021506,0.0064516129032258064,0.010752688172043012,0.016129032258064516,0.021505376344086023,0.026881720430107527,0.035483870967741936,0.04408602150537634,0.05161290322580645,0.060215053763440864,0.06881720430107527,0.07634408602150537,0.08387096774193549,0.09032258064516129,0.0978494623655914,0.1053763440860215,0.11290322580645161,0.12043010752688173,0.12688172043010754,0.13225806451612904,0.13978494623655913,0.14731182795698924,0.15483870967741936,0.16129032258064516,0.16774193548387098,0.17311827956989248,0.1774193548387097,0.1817204301075269,0.1860215053763441,0.19032258064516128,0.1956989247311828,0.1978494623655914,0.2010752688172043,0.2032258064516129,0.2064516129032258,0.2086021505376344,0.210752688172043,0.2118279569892473,0.2129032258064516,0.21397849462365592,0.21505376344086022,0.2161290322580645,0.2161290322580645,0.2172043010752688,0.2172043010752688,0.2172043010752688,0.21827956989247313,0.21827956989247313,0.21935483870967742,0.22043010752688172,0.221505376344086,0.221505376344086,0.22258064516129034,0.22258064516129034,0.22365591397849463,0.22365591397849463,0.22365591397849463,0.22365591397849463,0.22365591397849463,0.22365591397849463,0.22365591397849463,0.22365591397849463","577,576,575,573,570,567,562,554,541,525,509,487,468,450,429,411,395,376,360,345,329,313,297,284,269,253,240,224,211,201,190,182,174,165,157,149,143,136,129,124,119,116,111,108,104,101,100,98,97,96,95,94,93,92,91,87,85,82,81,79,78,77,76,75,74,73,72","0,8,15.900000095367432,24,31.90000009536743,39.80000019073486,47.90000009536743,55.90000009536743,63.90000009536743,71.90000009536743,79.90000009536743,87.90000009536743,95.90000009536743,103.80000019073486,109.80000019073486,117.90000009536743,125.80000019073486,134,141.80000019073486,149.90000009536743,157.80000019073486,165.80000019073486,173.90000009536743,181.90000009536743,189.80000019073486,197.90000009536743,205.80000019073486,213.80000019073486,221.80000019073486,229.90000009536743,237.90000009536743,245.80000019073486,254,261.80000019073486,270.2000002861023,277.90000009536743,285.90000009536743,293.80000019073486,299.90000009536743,309.80000019073486,315.80000019073486,323.80000019073486,331.80000019073486,339.80000019073486,347.80000019073486,355.80000019073486,364,373.90000009536743,379.90000009536743,388,395.90000009536743,403.80000019073486,411.90000009536743,419.80000019073486,427.90000009536743,435.90000009536743,443.80000019073486,451.90000009536743,459.80000019073486,468.09999990463257,475.90000009536743,484.40000009536743,489.90000009536743,499.90000009536743,522,546,593.8000001907349"
"211682979781884",6,0,"2",0,"0,0,-0.0021645021645021645,-0.006493506493506494,-0.010822510822510822,-0.015151515151515152,-0.021645021645021644,-0.030303030303030304,-0.04329004329004329,-0.05627705627705628,-0.07142857142857142,-0.08874458874458875,-0.11255411255411256,-0.1341991341991342,-0.15584415584415584,-0.1774891774891775,-0.19913419913419914,-0.21861471861471862,-0.23160173160173161,-0.24675324675324675,-0.2597402597402597,-0.2748917748917749,-0.2857142857142857,-0.2943722943722944,-0.3051948051948052,-0.31385281385281383,-0.3225108225108225,-0.33116883116883117,-0.3398268398268398,-0.34415584415584416,-0.35064935064935066,-0.354978354978355,-0.36147186147186144,-0.3658008658008658,-0.37445887445887444,-0.38311688311688313,-0.3917748917748918,-0.3961038961038961,-0.4025974025974026,-0.4069264069264069,-0.4134199134199134,-0.4155844155844156,-0.4199134199134199,-0.4264069264069264,-0.42857142857142855,-0.4329004329004329,-0.4393939393939394,-0.44155844155844154,-0.4458874458874459,-0.4523809523809524,-0.45454545454545453,-0.45670995670995673,-0.4588744588744589,-0.461038961038961,-0.46320346320346323,-0.4653679653679654,-0.4675324675324675,-0.4696969696969697,-0.47186147186147187,-0.474025974025974,-0.47619047619047616,-0.47835497835497837,-0.47835497835497837,-0.4805194805194805,-0.48268398268398266,-0.48268398268398266,-0.48484848484848486,-0.487012987012987,-0.48917748917748916,-0.49134199134199136,-0.4935064935064935,-0.49567099567099565,-0.49783549783549785,-0.5,-0.5021645021645021,-0.5043290043290043,-0.5064935064935064,-0.5086580086580087,-0.5108225108225108,-0.512987012987013,-0.5151515151515151,-0.5173160173160173,-0.5194805194805194,-0.5194805194805194,-0.5216450216450217,-0.5238095238095238,-0.5238095238095238,-0.525974025974026,-0.525974025974026,-0.5281385281385281,-0.5303030303030303,-0.5324675324675324,-0.5346320346320347,-0.5367965367965368,-0.538961038961039","579,578,576,574,571,566,560,551,542,529,514,492,467,445,418,394,372,356,343,330,317,304,291,281,268,260,251,243,237,232,227,221,215,210,204,198,190,186,180,177,172,167,163,158,153,148,142,137,133,128,125,121,118,114,112,110,108,107,105,104,103,102,101,100,99,98,97,96,95,94,93,92,91,90,89,88,87,86,85,85,84,84,83,82,81,81,80,80,79,79,78,77,77,76,76","0,744.7000002861023,752.7000002861023,760.8000001907349,768.7000002861023,776.8000001907349,785,792.7000002861023,800.8000001907349,809,816.7000002861023,825,834.5,840.7000002861023,847,854.8000001907349,862.8000001907349,870.8000001907349,878.8000001907349,886.8000001907349,894.6000003814697,902.8000001907349,910.8000001907349,919.1000003814697,926.7000002861023,935,942.7000002861023,951,958.7000002861023,966.8000001907349,974.7000002861023,982.7000002861023,990.7000002861023,998.7000002861023,1007,1014.7000002861023,1020.6000003814697,1030.8000001907349,1036.7000002861023,1044.8000001907349,1052.7000002861023,1060.7000002861023,1068.9000000953674,1076.7000002861023,1084.8000001907349,1092.8000001907349,1101.2000002861023,1108.7000002861023,1116.6000003814697,1124.7000002861023,1132.7000002861023,1140.7000002861023,1148.7000002861023,1156.7000002861023,1164.6000003814697,1172.6000003814697,1180.6000003814697,1188.7000002861023,1196.8000001907349,1204.7000002861023,1210.6000003814697,1220.8000001907349,1226.7000002861023,1234.9000000953674,1242.7000002861023,1250.8000001907349,1258.8000001907349,1266.7000002861023,1274.6000003814697,1282.7000002861023,1290.7000002861023,1298.7000002861023,1306.7000002861023,1314.7000002861023,1322.8000001907349,1330.8000001907349,1338.8000001907349,1354.7000002861023,1370.9000000953674,1378.8000001907349,1386.7000002861023,1394.7000002861023,1402.8000001907349,1408.7000002861023,1419.1000003814697,1424.9000000953674,1432.7000002861023,1440.7000002861023,1448.7000002861023,1456.8000001907349,1480.6000003814697,1496.7000002861023,1504.7000002861023,1528.7000002861023,1828.6000003814697"
"211682979781884",5,1,"2",0,"0,-0.0011025358324145535,-0.002205071664829107,-0.0033076074972436605,-0.004410143329658214,-0.005512679162072767,-0.006615214994487321,-0.007717750826901874,-0.006615214994487321,-0.005512679162072767,-0.004410143329658214,-0.0033076074972436605,-0.002205071664829107,-0.0011025358324145535,0,0.002205071664829107,0.0033076074972436605,0.004410143329658214,0.007717750826901874,0.011025358324145534,0.015435501653803748,0.022050716648291068,0.027563395810363836,0.034178610804851156,0.04189636163175303,0.04961411245865491,0.05733186328555678,0.06504961411245866,0.07276736493936053,0.08158765159867695,0.08930540242557883,0.09922822491730982,0.11025358324145534,0.12017640573318633,0.1278941565600882,0.1378169790518192,0.1444321940463065,0.1543550165380375,0.16427783902976847,0.17199558985667035,0.18081587651598677,0.18853362734288864,0.19625137816979052,0.20286659316427783,0.20837927232635062,0.2127894156560088,0.21719955898566704,0.22160970231532526,0.22381477398015434,0.22822491730981256,0.23153252480705622,0.23373759647188533,0.23594266813671444,0.23814773980154355,0.2414553472987872,0.24255788313120177,0.24366041896361632,0.24696802646085997,0.24807056229327454,0.24917309812568908,0.25027563395810365,0.2513781697905182,0.2535832414553473,0.25468577728776187,0.25468577728776187,0.2557883131201764,0.25689084895259096,0.2579933847850055,0.25909592061742004,0.26019845644983464,0.2613009922822492,0.26460859977949286,0.26460859977949286,0.26350606394707826,0.2624035281146637,0.26019845644983464,0.25909592061742004,0.2579933847850055,0.25689084895259096,0.2557883131201764,0.25468577728776187,0.2535832414553473,0.25248070562293273,0.2513781697905182,0.2513781697905182,0.25027563395810365,0.25027563395810365,0.25027563395810365","570,570,570,570,570,570,570,570,565,563,559,556,553,549,546,541,538,531,523,515,504,489,476,460,444,429,413,397,381,366,350,336,314,298,282,268,255,240,226,210,194,178,165,152,139,131,123,113,108,102,94,86,77,71,63,57,52,47,42,38,33,30,26,23,19,17,15,13,12,11,10,12,16,19,22,25,27,30,33,37,40,44,47,50,53,54,55,56","0,36.80000019073486,60.700000286102295,124.7000002861023,140.80000019073486,165,180.60000038146973,234.80000019073486,480.6000003814697,488.6000003814697,496.7000002861023,504.7000002861023,512.7000002861023,520.9000000953674,528.6000003814697,536.8000001907349,544.6000003814697,552.7000002861023,560.7000002861023,568.6000003814697,576.6000003814697,582.6000003814697,592.7000002861023,598.6000003814697,606.5,614.7000002861023,622.7000002861023,630.7000002861023,638.6000003814697,646.7000002861023,654.6000003814697,662.7000002861023,670.8000001907349,678.7000002861023,686.7000002861023,694.7000002861023,702.7000002861023,710.7000002861023,718.8000001907349,726.6000003814697,734.8000001907349,742.6000003814697,750.8000001907349,758.7000002861023,766.6000003814697,774.6000003814697,782.7000002861023,788.7000002861023,796.8000001907349,804.6000003814697,812.7000002861023,820.8000001907349,828.8000001907349,836.7000002861023,844.7000002861023,852.7000002861023,860.7000002861023,869.2000002861023,876.7000002861023,884.9000000953674,892.7000002861023,901,908.6000003814697,916.7000002861023,924.7000002861023,932.7000002861023,940.8000001907349,948.7000002861023,956.8000001907349,964.7000002861023,972.7000002861023,1082.7000002861023,1091.1000003814697,1098.6000003814697,1106.7000002861023,1114.7000002861023,1122.8000001907349,1130.6000003814697,1138.7000002861023,1146.7000002861023,1154.7000002861023,1162.6000003814697,1170.9000000953674,1178.7000002861023,1184.8000001907349,1192.6000003814697,1200.7000002861023,1208.7000002861023"
"211682979781884",2,0,"2",0,"0,-0.002364066193853428,-0.0070921985815602835,-0.009456264775413711,-0.01182033096926714,-0.016548463356973995,-0.028368794326241134,-0.037825059101654845,-0.05673758865248227,-0.07328605200945626,-0.09456264775413711,-0.1182033096926714,-0.14184397163120568,-0.16548463356973994,-0.18912529550827423,-0.2127659574468085,-0.23167848699763594,-0.25059101654846333,-0.2695035460992908,-0.2860520094562648,-0.30023640661938533,-0.3120567375886525,-0.32387706855791965,-0.3380614657210402,-0.34988179669030733,-0.35697399527186763,-0.3640661938534279,-0.37115839243498816,-0.37825059101654845,-0.3900709219858156,-0.40189125295508277,-0.4160756501182033,-0.42080378250591016,-0.4326241134751773,-0.4373522458628842,-0.44680851063829785,-0.45390070921985815,-0.46335697399527187,-0.4728132387706856,-0.48226950354609927,-0.491725768321513,-0.4940898345153664,-0.49645390070921985,-0.4988179669030733,-0.5035460992907801,-0.5815602836879432,-0.5933806146572104,-0.607565011820331,-0.6217494089834515,-0.6335697399527187,-0.6430260047281324,-0.6477541371158393,-0.6501182033096927,-0.6548463356973995,-0.6548463356973995,-0.6524822695035462,-0.6524822695035462,-0.6524822695035462,-0.6524822695035462,-0.6524822695035462,-0.6524822695035462,-0.6524822695035462,-0.6501182033096927","556,552,549,545,541,536,530,522,506,490,472,450,426,399,373,347,323,301,282,263,245,229,213,197,184,174,163,150,137,124,111,96,87,79,71,63,54,46,38,32,27,22,17,14,10,10,17,26,36,45,53,59,64,67,71,73,74,75,76,77,78,79,80","0,7.899999618530273,16.199999809265137,24.199999809265137,32.19999980926514,40.19999980926514,46,56.09999990463257,62.09999990463257,70.39999961853027,78.09999990463257,86.19999980926514,94,102.09999990463257,110,118.5,126.09999990463257,134.5,142.09999990463257,150.2999997138977,158.09999990463257,166.09999990463257,174,182,190.09999990463257,198.09999990463257,206,214.09999990463257,222.09999990463257,230,238.09999990463257,244.09999990463257,252.09999990463257,260,268,276,284.09999990463257,292.09999990463257,300.19999980926514,308.09999990463257,316.09999990463257,324.09999990463257,332,340,348,457.8999996185303,466.09999990463257,474.59999990463257,482.19999980926514,490.09999990463257,498.09999990463257,506.09999990463257,514,522.1999998092651,532.0999999046326,538.0999999046326,546,554.0999999046326,562.0999999046326,570.0999999046326,578,594.0999999046326,602"
"211682979781884",3,-2,"2",0,"0,-0.000002088397697750378,-0.000006265193093251134,-0.000008353590791001511,-0.00001044198848875189,-0.000014618783884252645,-0.000025060772373004537,-0.000033414363164006045,-0.000050121544746009074,-0.00006474032863026171,-0.00008353590791001512,-0.00010441988488751891,-0.00012530386186502269,-0.00014618783884252646,-0.00016707181582003024,-0.00018795579279753401,-0.00020466297437953706,-0.00022137015596154005,-0.0002380773375435431,-0.0002526961214277958,-0.000265226507614298,-0.0002756684961030499,-0.0002861104845918018,-0.00029864087077830404,-0.00030908285926705597,-0.0003153480523603071,-0.00032161324545355825,-0.0003278784385468093,-0.0003341436316400605,-0.00034458562012881235,-0.0003550276086175643,-0.0003675579948040665,-0.00037173479019956727,-0.0003821767786883192,-0.00038635357408381996,-0.0003947071648748214,-0.0004009723579680726,-0.0004093259487590741,-0.00041767953955007564,-0.0004260331303410771,-0.0004343867211320786,-0.000436475118829829,-0.0004385635165275794,-0.00044065191422532974,-0.00044482870962083044,-0.000513745833646593,-0.0005241878221353449,-0.0005367182083218471,-0.0005492485945083495,-0.0005596905829971013,-0.0005680441737881028,-0.0005722209691836036,-0.000574309366881354,-0.0005784861622768546,-0.0005784861622768546,-0.0005763977645791043,-0.0005763977645791043,-0.0005763977645791043,-0.0005763977645791043,-0.0005763977645791043,-0.0005763977645791043,-0.0005763977645791043,-0.000574309366881354,0.6068904593639576,0.6068904593639576,0.6060070671378092,0.6051236749116607,0.6042402826855123,0.6033568904593639,0.6024734982332155,0.6015901060070671,0.6007067137809188,0.5998233215547704,0.598939929328622,0.5980565371024735,0.5980565371024735,0.6007067137809188,0.6051236749116607,0.6121908127208481,0.6210247349823321,0.6298586572438163,0.6395759717314488,0.6466431095406361,0.6537102473498233,0.6625441696113075,0.6678445229681979,0.6722614840989399,0.676678445229682,0.6802120141342756,0.6837455830388692,0.6855123674911661,0.6863957597173145,0.6872791519434629,0.6881625441696113,0.6890459363957597,0.6890459363957597,0.6899293286219081,0.6908127208480566,0.691696113074205,0.6934628975265018,0.6943462897526502,0.696113074204947,0.6969964664310954,0.6978798586572438,0.6987632508833922,0.6996466431095406,0.700530035335689,0.7014134275618374,0.7022968197879859,0.7022968197879859,0.7031802120141343,0.7031802120141343,0.7058303886925795,0.7102473498233216,0.715547703180212,0.7252650176678446,0.7367491166077739,0.7535335689045937,0.7729681978798587,0.7941696113074205,0.8171378091872792,0.842756183745583,0.8657243816254417,0.8878091872791519,0.907243816254417,0.9213780918727915,0.9328621908127208,0.9399293286219081,0.9452296819787986,0.9522968197879859,0.9567137809187279,0.9628975265017667,0.9673144876325088,0.9734982332155477,0.9779151943462897,0.9832155477031802,0.9885159010600707,0.9938162544169611,1","556,552,549,545,541,536,530,522,506,490,472,450,426,399,373,347,323,301,282,263,245,229,213,197,184,174,163,150,137,124,111,96,87,79,71,63,54,46,38,32,27,22,17,14,10,10,17,26,36,45,53,59,64,67,71,73,74,75,76,77,78,79,80,568,569,570,572,573,574,575,576,577,578,579,579,580,578,571,562,549,540,526,512,503,493,487,482,479,475,472,471,470,469,468,467,466,465,464,461,459,457,456,455,454,453,452,451,450,449,448,447,446,444,441,438,433,428,423,415,409,403,398,392,386,380,375,372,368,364,360,356,352,348,343,338,334,330,328,325","0,7.899999618530273,16.199999809265137,24.199999809265137,32.19999980926514,40.19999980926514,46,56.09999990463257,62.09999990463257,70.39999961853027,78.09999990463257,86.19999980926514,94,102.09999990463257,110,118.5,126.09999990463257,134.5,142.09999990463257,150.2999997138977,158.09999990463257,166.09999990463257,174,182,190.09999990463257,198.09999990463257,206,214.09999990463257,222.09999990463257,230,238.09999990463257,244.09999990463257,252.09999990463257,260,268,276,284.09999990463257,292.09999990463257,300.19999980926514,308.09999990463257,316.09999990463257,324.09999990463257,332,340,348,457.8999996185303,466.09999990463257,474.59999990463257,482.19999980926514,490.09999990463257,498.09999990463257,506.09999990463257,514,522.1999998092651,532.0999999046326,538.0999999046326,546,554.0999999046326,562.0999999046326,570.0999999046326,578,594.0999999046326,602,0,8.700000286102295,80.7000002861023,88.60000038146973,96.7000002861023,104.60000038146973,112.60000038146973,120.60000038146973,128.60000038146973,136.7000002861023,152.60000038146973,169.30000019073486,190.60000038146973,562.6000003814697,570.6000003814697,578.6000003814697,586.8000001907349,594.6000003814697,602.7000002861023,610.7000002861023,618.5,626.6000003814697,634.7000002861023,642.6000003814697,650.6000003814697,658.6000003814697,666.8000001907349,674.6000003814697,682.6000003814697,690.8000001907349,698.7000002861023,714.6000003814697,722.6000003814697,730.6000003814697,738.6000003814697,744.6000003814697,752.9000000953674,760.6000003814697,768.8000001907349,776.6000003814697,784.7000002861023,792.6000003814697,801,808.6000003814697,816.6000003814697,832.6000003814697,840.6000003814697,856.7000002861023,912.6000003814697,1260.6000003814697,1268.7000002861023,1276.7000002861023,1284.6000003814697,1292.6000003814697,1300.6000003814697,1308.6000003814697,1316.6000003814697,1324.7000002861023,1330.7000002861023,1340.7000002861023,1346.6000003814697,1354.6000003814697,1362.6000003814697,1370.8000001907349,1378.6000003814697,1386.9000000953674,1394.7000002861023,1402.7000002861023,1410.7000002861023,1418.8000001907349,1426.6000003814697,1434.9000000953674,1442.7000002861023,1450.6000003814697,1458.6000003814697,1466.7000002861023"
