"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"752475447857470","person",0,1,1,"kind","NO ANSWER",1,0,2511,21,1009
"752475447857470","person",4,1,3,"bad","NO ANSWER",1,0,2511,21,1011
"752475447857470","person",2,1,1,"kind","NO ANSWER",1,0,2504,21,1016
"752475447857470","person",1,1,3,"bad","NO ANSWER",1,0,2522,22,1014
"752475447857470","person",3,1,5,"untrustworthy","NO ANSWER",1,0,2507,23,1009
"752475447857470","person",2,1,3,"bad","NO ANSWER",1,0,2508,21,1013
"752475447857470","person",1,1,5,"untrustworthy","NO ANSWER",1,0,2515,21,1007
"752475447857470","person",4,1,5,"untrustworthy","NO ANSWER",1,0,2511,20,1002
"752475447857470","person",1,1,1,"kind","NO ANSWER",1,0,2518,21,1011
"752475447857470","person",0,1,5,"untrustworthy","NO ANSWER",1,0,2507,21,1016
"752475447857470","person",3,1,2,"trustworthy","NO ANSWER",1,0,2512,21,1003
"752475447857470","person",0,1,0,"good","NO ANSWER",1,0,2514,21,1013
"752475447857470","person",3,1,3,"bad","NO ANSWER",1,0,2507,22,1015
"752475447857470","person",1,1,0,"good","NO ANSWER",1,0,2515,22,1011
"752475447857470","person",0,1,2,"trustworthy","NO ANSWER",1,0,2507,21,1015
"752475447857470","person",3,1,1,"kind","NO ANSWER",1,0,2514,22,1011
"752475447857470","person",2,1,2,"trustworthy","NO ANSWER",1,0,2512,21,1015
"752475447857470","person",4,1,2,"trustworthy","NO ANSWER",1,0,2516,22,1013
"752475447857470","person",2,1,5,"untrustworthy","NO ANSWER",1,0,2513,21,1032
"752475447857470","house",0,0,3,"furnished","NO ANSWER",0,0,2510,21,1037
"752475447857470","person",4,1,1,"kind","NO ANSWER",1,0,2518,24,1119
"752475447857470","person",1,1,4,"cruel","NO ANSWER",1,0,2534,21,1013
"752475447857470","house",2,0,0,"leaky","NO ANSWER",0,0,2559,64,1012
"752475447857470","house",3,0,1,"roomy","NO ANSWER",0,0,2519,37,1011
"752475447857470","person",2,1,4,"cruel","NO ANSWER",1,0,2512,21,1016
"752475447857470","person",0,1,3,"bad","NO ANSWER",1,0,2507,23,1062
"752475447857470","house",2,0,4,"drafty","NO ANSWER",0,0,2515,21,1017
"752475447857470","person",3,1,4,"cruel","NO ANSWER",1,0,2511,22,1027
"752475447857470","house",4,0,3,"furnished","NO ANSWER",0,0,2507,21,1047
"752475447857470","person",4,1,4,"cruel","NO ANSWER",1,0,2503,21,1006
"752475447857470","house",2,0,1,"roomy","NO ANSWER",0,0,2522,22,1010
"752475447857470","house",4,0,2,"wooden","NO ANSWER",0,0,2511,22,1013
"752475447857470","person",0,1,4,"cruel","NO ANSWER",1,0,2511,20,1013
